time,user,filtered_emg,gesture
0.602,2,0,Hand is at Rest
0.702,2,0,Hand is at Rest
0.802,2,1,Hand is at Rest
0.903,2,1,Hand is at Rest
1.003,2,2,Hand is at Rest
1.103,2,2,Hand is at Rest
1.204,2,2,Hand is at Rest
1.304,2,4,Hand is at Rest
1.404,2,6,Hand is at Rest
1.505,2,8,Hand is at Rest
1.605,2,10,Hand is at Rest
1.707,2,15,Hand is at Rest
1.807,2,16,Hand is at Rest
1.907,2,17,Hand is at Rest
2.008,2,17,Hand is at Rest
2.108,2,19,Hand is at Rest
2.208,2,21,Hand is at Rest
2.309,2,19,Hand is at Rest
2.409,2,21,Hand is at Rest
2.51,2,23,Hand is at Rest
2.611,2,24,Hand is at Rest
2.711,2,25,Hand is at Rest
2.811,2,32,Hand is at Rest
2.912,2,38,Hand is Moving
3.012,2,49,Hand is Moving
3.112,2,52,Hand is Moving
3.213,2,61,Hand is Moving
3.313,2,72,Hand is Moving
3.415,2,80,Hand is Moving
3.515,2,85,Hand is Moving
3.615,2,83,Hand is Moving
3.716,2,79,Hand is Moving
3.816,2,77,Hand is Moving
3.916,2,77,Hand is Moving
4.017,2,74,Hand is Moving
4.117,2,79,Hand is Moving
4.218,2,81,Hand is Moving
4.319,2,75,Hand is Moving
4.419,2,68,Hand is Moving
4.519,2,68,Hand is Moving
4.62,2,69,Hand is Moving
4.72,2,72,Hand is Moving
4.82,2,69,Hand is Moving
4.921,2,62,Hand is Moving
5.022,2,55,Hand is Moving
5.123,2,44,Hand is Moving
5.223,2,34,Hand is at Rest
5.323,2,29,Hand is at Rest
5.424,2,25,Hand is at Rest
5.524,2,19,Hand is at Rest
5.624,2,16,Hand is at Rest
5.725,2,13,Hand is at Rest
5.825,2,13,Hand is at Rest
5.926,2,15,Hand is at Rest
6.027,2,15,Hand is at Rest
6.127,2,17,Hand is at Rest
6.227,2,16,Hand is at Rest
6.328,2,16,Hand is at Rest
6.428,2,17,Hand is at Rest
6.529,2,16,Hand is at Rest
6.629,2,17,Hand is at Rest
6.73,2,18,Hand is at Rest
6.831,2,21,Hand is at Rest
6.931,2,25,Hand is at Rest
7.031,2,37,Hand is at Rest
7.132,2,42,Hand is Moving
7.232,2,45,Hand is Moving
7.332,2,52,Hand is Moving
7.433,2,63,Hand is Moving
7.534,2,75,Hand is Moving
7.634,2,89,Hand is Moving
7.735,2,102,Hand is Moving
7.835,2,108,Hand is Moving
7.936,2,109,Hand is Moving
8.036,2,96,Hand is Moving
8.136,2,95,Hand is Moving
8.237,2,96,Hand is Moving
8.337,2,94,Hand is Moving
8.438,2,91,Hand is Moving
8.539,2,87,Hand is Moving
8.639,2,78,Hand is Moving
8.739,2,70,Hand is Moving
8.84,2,65,Hand is Moving
8.94,2,63,Hand is Moving
9.04,2,63,Hand is Moving
9.141,2,60,Hand is Moving
9.242,2,55,Hand is Moving
9.342,2,50,Hand is Moving
9.443,2,44,Hand is Moving
9.543,2,36,Hand is at Rest
9.644,2,30,Hand is at Rest
9.744,2,27,Hand is at Rest
9.844,2,26,Hand is at Rest
9.945,2,24,Hand is at Rest
10.046,2,28,Hand is at Rest
10.146,2,26,Hand is at Rest
10.247,2,30,Hand is at Rest
10.347,2,34,Hand is at Rest
10.447,2,33,Hand is at Rest
10.548,2,36,Hand is at Rest
10.648,2,42,Hand is Moving
